A    PRECIPITATION (MM)
A    COMPLETION AND EXTENSION OF PRECIPITATION SERIES
A
B   1988       1       1      27       1       4       1       0       0       0
C      0       0       0       0       0    2015       1    2018       0       1
H1072001  9570 11220 14350  5520  3120  3610  1530  2030  2370  3890 10030  2050
H1072002  6900 10500 10570 11990  3040   920  1480     0   730  7650  7550  3940
H1072003  2720  5380  7990  3970  4670  2770   540     0  2220   770  3340  2950
H1072004  1810  1350  4480  7010  3050   830  1170     0  1190  9090  6140  9530
H1072005  1060    -1 31840  4520   780   680     0     0  1550  5090  2430  8960
H1072006  8320 19220 21420 11450   730  2850   640   190   670  2290 10040    -1
H1072007  6150  4670 14250 10040  5410  2380   170  1190   250 12640  9540  3260
H1072008  5280 23070 17860 13740  2000  3440  3360   610   510 10650 15580     0
H1072009 17740  9520 18660  8810  2530   630    60   500  1860  4820  3160  5220
H1072010  4560 11570  8130  5900  2130  1170   760  1240  1960  3140  2450  5840
H1072011  3660  5020  5980 13260  1370  2610  1880   430  2990  2460  8350  8590
H1072012  8770 16210  7530  6780   790   530    70   380    40 10930  7600  3940
H1072013  5710  1400  5000   490  5980   610  3780   760   200  8290    20  2190
H1072014  2300  6130 12800  2080  8710   700   160    -1    -1    -1    -1    -1
A
